iter	R2	RMSE
739	0.9411898895	0.19410086
740	0.9412201349	0.1940509417
741	0.9412346719	0.1940269445
742	0.941248922	0.1940034182
743	0.9412682848	0.1939714464
744	0.9412812638	0.1939500125
745	0.9413033538	0.193913527
746	0.9413143663	0.1938953355
747	0.941325829	0.1938763984
748	0.9413416874	0.1938501961
749	0.9413553904	0.1938275525
750	0.9413689628	0.193805122
751	0.9413823384	0.1937830141
752	0.9413989221	0.1937556003
753	0.9414108165	0.1937359359
754	0.9414178999	0.1937242242
755	0.9414285663	0.193706587
756	0.9414385373	0.1936900985
757	0.9414406813	0.1936865528
758	0.9414540979	0.1936643636
759	0.9414805742	0.1936205681
760	0.9415066821	0.1935773723
761	0.9415257806	0.1935457674
762	0.9415572395	0.1934936971
763	0.9415882186	0.1934424071
764	0.9416104456	0.193405599
765	0.9416199538	0.1933898512
766	0.9416256603	0.1933803993
767	0.9416379715	0.1933600061
768	0.9416570833	0.1933283437
769	0.9416688458	0.1933088544
770	0.9416790341	0.1932919717
771	0.9416859344	0.1932805365
772	0.9416983843	0.193259903
773	0.9417125229	0.193236468
774	0.9417210449	0.1932223413
775	0.9417343851	0.1932002256
776	0.9417514581	0.1931719177
777	0.9417730547	0.1931361035
778	0.9418023596	0.193087496
779	0.9418262869	0.1930477989
780	0.941843524	0.1930191965
781	0.9418520589	0.1930050325
782	0.9418755538	0.1929660362
783	0.9418890307	0.1929436641
784	0.9419071494	0.1929135825
785	0.9419131987	0.1929035379
786	0.9419256119	0.1928829249
787	0.9419337252	0.1928694512
788	0.941942179	0.1928554108
789	0.9419641612	0.1928188974
790	0.9419778521	0.1927961526
791	0.9419854152	0.1927835868
792	0.9419908255	0.1927745974
793	0.9420049574	0.1927511146
794	0.942021325	0.1927239132
795	0.9420366235	0.1926984849
796	0.942048278	0.1926791114
797	0.9420622185	0.1926559352
798	0.9420672224	0.1926476154
799	0.9420937709	0.1926034686
800	0.9421207712	0.1925585603
801	0.9421352586	0.1925344595
802	0.942148091	0.1925131097
803	0.9421716703	0.1924738734
804	0.9421919955	0.1924400455
805	0.9422109119	0.192408557
806	0.9422204413	0.1923926925
807	0.9422317484	0.1923738665
808	0.9422393165	0.1923612647
809	0.9422493999	0.1923444736
810	0.9422546084	0.1923357997
811	0.9422641875	0.1923198462
812	0.9422767103	0.1922989881
813	0.9422885731	0.1922792273
814	0.9423015428	0.1922576203
815	0.9423141387	0.1922366336
816	0.9423236797	0.1922207354
817	0.9423278386	0.192213805
818	0.9423534236	0.1921711646
819	0.9423687726	0.192145579
820	0.942381722	0.1921239909
821	0.942394305	0.1921030112
822	0.9424039324	0.1920869578
823	0.9424098329	0.1920771182
824	0.9424277176	0.192047291
825	0.9424339218	0.1920369429
826	0.9424601184	0.1919932428
827	0.9424701755	0.1919764633
828	0.9424872586	0.1919479581
829	0.9424985057	0.1919291886
830	0.942507803	0.1919136717
831	0.9425250794	0.1918848346
832	0.9425488995	0.1918450677
833	0.9425648349	0.1918184596
834	0.9425751587	0.1918012195
835	0.9426046543	0.1917519548
836	0.9426121236	0.1917394773
837	0.9426279834	0.1917129808
838	0.9426562931	0.1916656755
839	0.9426691897	0.1916441215
840	0.9426775766	0.1916301032
841	0.9427045396	0.1915850289
842	0.9427113274	0.1915736801
843	0.9427198289	0.191559465
844	0.9427346208	0.1915347294
845	0.9427529756	0.1915040315
846	0.9427656463	0.191482837
847	0.9427804518	0.1914580689
848	0.9427943146	0.1914348748
849	0.9428054756	0.1914161993
850	0.9428271924	0.1913798552
851	0.9428497803	0.1913420463
852	0.9428618102	0.1913219069
853	0.9428764464	0.1912974013
854	0.9428940183	0.1912679763
855	0.9429006432	0.1912568815
856	0.9429041713	0.1912509727
857	0.9429166907	0.1912300036
858	0.942933462	0.1912019095
859	0.9429558864	0.1911643393
860	0.9429584843	0.1911599863
861	0.942975875	0.1911308438
862	0.9429919758	0.1911038588
863	0.9430147493	0.1910656842
864	0.943032873	0.1910352983
865	0.9430400269	0.1910233027
866	0.9430512816	0.1910044298
867	0.9430583296	0.19099261
868	0.9430655005	0.1909805834
869	0.9430714157	0.1909706622
870	0.9430787049	0.1909584357
871	0.9430920622	0.190936029
872	0.9431010541	0.1909209438
873	0.9431114686	0.1909034704
874	0.9431138059	0.1908995486
875	0.9431305567	0.1908714402
876	0.9431418733	0.1908524482
877	0.9431571607	0.1908267893
878	0.9431737502	0.190798941
879	0.9431807	0.1907872735
880	0.9431927422	0.1907670548
881	0.94320824	0.1907410311
882	0.9432311905	0.1907024864
